Relative_Second,Avg_Total_Service_CPU(m),Avg_Total_Service_Memory(Mi)
0,13.3,112.3
1,11.3,112.2
2,11.3,112.2
3,4.5,112.3
4,4.5,112.3
5,4.5,112.3
6,4.5,112.3
7,5.7,112.3
8,5.9,112.3
9,5.9,112.3
10,12.1,112.5
11,16.6,112.6
12,16.6,112.6
13,24.5,114.0
14,31.5,114.2
15,38.6,114.3
16,48.2,114.5
17,55.5,114.7
18,55.5,114.7
19,66.2,114.8
20,78.6,115.1
21,89.9,115.3
22,89.9,115.3
23,95.3,115.3
24,103.9,115.4
25,103.9,115.4
26,130.5,118.1
27,135.0,118.0
28,141.8,118.0
29,146.2,118.1
30,152.0,118.0
31,152.0,118.0
32,153.7,118.0
33,154.4,118.0
34,154.1,117.9
35,154.1,117.9
36,154.1,117.9
37,155.3,118.1
38,151.4,118.0
39,137.3,118.1
40,132.2,118.2
41,127.2,118.2
42,127.2,118.2
43,109.0,118.1
44,109.0,118.1
45,103.7,118.0
46,92.8,117.8
47,85.3,117.7
48,85.3,117.7
49,85.3,117.7
50,73.4,117.7
51,64.2,117.6
52,51.0,117.5
53,44.6,117.4
54,35.7,117.4
55,35.7,117.4
56,26.4,117.4
57,26.4,117.4
58,19.3,117.4
59,17.0,117.4
60,13.3,117.4
61,13.3,117.4
62,3.0,114.0
