1789308889,0,8091,2.95
1789308890,99,8091,2.95
1789308891,99,8091,2.95
1789308892,99,8091,4.15
1789308893,99,8091,4.15
1789308894,99,8091,4.15
1789308895,99,8091,4.15
1789308897,99,8091,4.15
1789308898,99,8091,4.70
1789308899,99,8091,4.70
1789308900,99,8091,4.70
1789308901,99,8091,4.70
1789308902,99,8091,4.70
1789308903,100,8091,4.64
1789308904,99,8091,4.64
1789308905,99,8091,4.64
1789308906,99,8091,4.64
1789308907,99,8091,4.64
1789308908,100,8091,5.79
1789308909,99,8091,5.79
1789308910,99,8091,5.79
1789308911,99,8091,5.79
1789308912,99,8091,5.79
1789308913,99,8091,5.65
1789308914,99,8091,5.65
1789308915,99,8091,5.65
1789308916,99,8091,5.65
1789308917,99,8091,6.64
1789308918,99,8091,6.64
1789308919,99,8091,6.64
1789308920,99,8091,6.64
1789308921,99,8091,6.64
1789308922,99,8091,7.47
1789308923,99,8091,7.47
1789308924,99,8091,7.47
1789308925,99,8091,7.47
1789308926,99,8091,7.47
1789308927,99,8091,7.67
1789308928,99,8091,7.67
1789308929,99,8091,7.67
1789308930,99,8091,7.67
1789308931,99,8091,7.67
1789308932,99,8091,7.86
1789308933,100,8091,7.86
1789308934,99,8091,7.86
1789308935,99,8091,7.86
1789308936,99,8091,7.86
1789308937,99,8091,8.03
1789308938,99,8091,8.03
1789308939,99,8091,8.03
1789308941,99,8091,8.03
1789308942,99,8091,8.03
1789308943,99,8091,8.19
1789308944,99,8091,8.19
1789308945,99,8091,8.19
1789308946,99,8091,8.19
1789308947,99,8091,8.19
1789308948,99,8091,8.33
1789308949,99,8091,8.33
1789308950,99,8091,8.33
1789308951,99,8091,8.33
1789308952,99,8091,8.33
1789308953,99,8091,8.47
1789308954,100,8091,8.47
1789308955,100,8091,8.47
1789308956,99,8091,8.47
1789308957,99,8091,8.47
1789308958,99,8091,8.59
1789308959,99,8091,8.59
1789308960,99,8091,8.59
1789308961,99,8091,8.59
1789308962,99,8091,9.27
1789308963,99,8091,9.27
1789308964,99,8091,9.27
1789308965,99,8091,9.27
1789308966,99,8091,9.27
1789308967,99,8091,9.88
1789308968,99,8091,9.88
1789308969,99,8091,9.88
1789308970,99,8091,9.88
1789308971,99,8091,9.88
1789308972,99,8091,9.89
1789308973,100,8091,9.89
1789308974,99,8091,9.89
1789308975,99,8091,9.89
1789308976,99,8091,9.89
1789308977,99,8091,9.34
1789308978,99,8091,9.34
1789308979,99,8091,9.34
1789308980,99,8091,9.34
1789308981,99,8091,9.34
1789308982,99,8091,9.79
1789308983,99,8091,9.79
1789308984,99,8091,9.79
1789308986,99,8091,9.79
1789308987,99,8091,9.79
1789308988,99,8091,9.89
1789308989,99,8091,9.89
1789308990,99,8091,9.89
1789308991,99,8091,9.89
1789308992,99,8091,9.89
1789308993,99,8091,10.38
1789308994,99,8091,10.38
1789308995,99,8091,10.38
1789308996,99,8091,10.38
1789308997,99,8091,10.38
1789308998,100,8091,10.83
1789308999,99,8091,10.83
1789309000,99,8091,10.83
1789309001,99,8091,10.83
1789309002,99,8091,10.83
1789309003,99,8091,10.60
1789309004,99,8091,10.60
1789309005,99,8091,10.60
1789309006,99,8091,10.60
1789309007,99,8091,9.99
1789309008,99,8091,9.99
1789309009,99,8091,9.99
1789309010,100,8091,9.99
