stamp,url,rate_target,rate_achieved,reqs,fail_rate,wrong_answer_rate,drop_rate,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,svc_exec_p50_ms,gpu_util_avg,gpu_util_max,gpu_mem_max_mib,host_load1_max,verdict,reasons
20260913T141127Z,http://10.29.20.121:5005,3,3.0083333333333333,361,0,0,0,252.178925,265.813132,271.825891,290.318432,248.41,59.69747899159664,96.0,8091.0,4.81,PASS,
20260913T141127Z,http://10.29.20.121:5005,6,6.008333333333334,721,0,0,0,511.956475,522.339887,527.6362944,555.219659,509.42,98.23529411764706,100.0,8091.0,10.83,PASS,
20260913T141127Z,http://10.29.20.121:5005,12,12.008333333333333,1441,0,0,0,709.944993,731.696116,743.4022125999999,770.053834,707.24,96.475,100.0,8091.0,9.33,PASS,
