Relative_Second,Avg_Total_Service_CPU(m),Avg_Total_Service_Memory(Mi)
0,3.7,132.0
1,3.7,132.0
2,3.3,132.0
3,3.1,132.0
4,3.5,132.0
5,3.5,132.0
6,3.9,132.2
7,12.8,132.5
8,22.7,132.8
9,27.5,133.0
10,46.1,133.2
11,60.8,133.4
12,60.8,133.4
13,73.6,133.5
14,73.6,133.5
15,96.4,133.8
16,161.4,134.1
17,161.4,134.1
18,161.4,134.1
19,198.3,134.1
20,231.3,133.9
21,258.6,133.7
22,297.9,133.7
23,297.9,133.7
24,324.4,133.7
25,352.5,133.6
26,383.7,133.7
27,383.7,133.7
28,406.2,133.6
29,430.0,133.5
30,430.0,133.5
31,435.5,133.5
32,435.5,133.5
33,435.2,133.5
34,437.0,133.4
35,431.2,133.3
36,431.2,133.3
37,417.6,133.2
38,372.0,133.0
39,372.0,133.0
40,372.0,133.0
41,353.1,132.8
42,284.4,132.6
43,284.4,132.6
44,255.2,132.5
45,255.2,132.5
46,217.6,132.4
47,184.1,132.5
48,184.1,132.5
49,119.4,132.3
50,105.3,132.2
51,78.7,132.2
52,78.7,132.2
53,69.5,132.2
54,43.1,132.2
55,31.8,132.2
56,31.8,132.2
57,18.2,132.1
58,18.2,132.1
59,16.75,132.12
60,9.88,132.0
61,10.0,132.0
62,7.0,132.0
