Relative_Second,Avg_Total_Service_CPU(m),Avg_Total_Service_Memory(Mi)
0,6.0,123.9
1,6.0,123.9
2,6.0,123.9
3,6.0,123.9
4,6.0,123.9
5,4.5,123.9
6,6.4,123.9
7,9.1,124.1
8,12.9,124.2
9,13.5,124.2
10,17.5,124.3
11,17.5,124.3
12,22.9,124.4
13,22.9,124.4
14,33.1,124.4
15,44.6,124.6
16,71.7,127.7
17,89.3,127.8
18,104.4,127.8
19,124.2,128.5
20,124.2,128.5
21,140.1,128.5
22,163.6,128.6
23,176.9,128.7
24,195.3,128.8
25,195.3,128.8
26,208.6,128.9
27,220.6,128.8
28,220.6,128.8
29,237.4,130.8
30,240.9,130.7
31,245.2,130.8
32,241.9,130.6
33,243.2,130.6
34,240.0,130.5
35,234.5,130.4
36,234.5,130.4
37,221.5,130.2
38,221.5,130.2
39,205.7,130.1
40,189.8,130.0
41,169.9,130.5
42,158.4,130.5
43,140.9,130.4
44,125.7,130.5
45,125.7,130.5
46,111.2,130.4
47,89.9,130.5
48,78.1,130.5
49,67.3,130.5
50,67.3,130.5
51,61.1,130.5
52,53.5,130.5
53,53.5,130.5
54,29.5,130.3
55,19.9,130.3
56,17.6,130.3
57,13.6,130.2
58,7.1,130.2
59,5.5,129.5
