Elapsed_Time(s),Progress(%),Active_VUs,Iterations_per_sec
01.0,3,0,50.0
02.0,7,0,50.0
03.0,10,0,50.0
04.0,13,0,50.0
05.0,17,0,50.0
06.0,20,0,50.0
07.0,23,0,50.0
08.0,27,0,50.0
09.0,30,0,50.0
10.0,33,0,50.0
11.0,37,0,50.0
12.0,40,0,50.0
13.0,43,0,50.0
14.0,47,0,50.0
15.0,50,0,50.0
16.0,53,0,50.0
17.0,57,0,50.0
18.0,60,0,50.0
19.0,63,0,50.0
20.0,67,0,50.0
21.0,70,0,50.0
22.0,73,0,50.0
23.0,77,0,50.0
24.0,80,0,50.0
25.0,83,0,50.0
26.0,87,0,50.0
27.0,90,0,50.0
28.0,93,0,50.0
29.0,97,0,50.0
30.0,100,0,50.0
30,100,0,50.0
