Relative_Second,Avg_Total_Service_CPU(m),Avg_Total_Service_Memory(Mi)
0,8.9,204.6
1,8.9,204.6
2,8.6,204.6
3,8.6,204.6
4,8.7,204.5
5,9.6,204.6
6,10.2,204.2
7,12.7,204.1
8,12.7,204.1
9,12.7,204.1
10,20.2,204.2
11,24.1,204.2
12,29.8,204.2
13,36.7,204.3
14,44.4,204.6
15,44.4,204.6
16,52.4,204.7
17,73.8,204.9
18,73.8,204.9
19,82.1,205.0
20,89.8,205.1
21,89.8,205.1
22,89.8,205.1
23,95.8,205.1
24,106.7,205.2
25,115.5,205.2
26,132.8,205.2
27,132.8,205.2
28,132.8,205.2
29,141.6,205.1
30,145.4,205.1
31,145.4,205.1
32,151.4,205.1
33,157.0,205.1
34,157.0,205.1
35,157.0,205.1
36,156.4,205.1
37,148.8,205.0
38,145.4,205.0
39,128.6,204.8
40,128.6,204.8
41,122.2,204.7
42,102.2,204.7
43,102.2,204.7
44,102.2,204.7
45,89.3,204.7
46,78.3,204.7
47,78.3,204.7
48,78.3,204.7
49,70.3,204.7
50,63.3,204.7
51,52.3,204.7
52,37.3,204.6
53,37.3,204.6
54,22.8,204.4
55,21.8,204.4
56,21.8,204.4
57,21.8,204.4
58,21.11,204.44
59,14.56,204.33
60,15.5,204.5
61,32.0,206.0
