config,mesh,mtls,scenario,reqs,fail_rate,lat_avg_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,lat_max_ms
linkerd_mtls,linkerd,on,ai_generate,30,0,1434.2744825000002,1432.0800905,1453.4735148,1462.6171815,1474.16568916,1477.076012
linkerd_mtls,linkerd,on,permutation_from_ai,30,0,1460.5373586,1454.923215,1488.0019447,1507.07546375,1577.19064668,1604.678647
linkerd_mtls,linkerd,on,filters_ai_matrix,30,0,1681.578377166667,1677.008173,1707.9546415,1726.2847204,1742.00248008,1748.360831
baseline,baseline,na,ai_generate,30,0,1693.6994324333334,1521.233288,1576.8014426,1578.91631885,5259.033208970004,6761.752253
baseline,baseline,na,permutation_from_ai,30,0,1560.7622427,1551.0411675,1603.9020146999999,1659.8353811499999,1878.6181226600002,1964.258442
baseline,baseline,na,filters_ai_matrix,30,0,1785.3965661666666,1767.1832115,1823.5207079,1858.9586249999998,2183.19776855,2303.901106
istio_mtls,istio,on,ai_generate,30,0,1463.3138729000007,1458.9064715,1487.6369865000001,1491.5784535,1527.55552128,1541.559728
istio_mtls,istio,on,permutation_from_ai,30,0,1485.6427599333333,1477.4310850000002,1527.8257965,1532.6610547,1547.05404329,1551.345579
istio_mtls,istio,on,filters_ai_matrix,30,0,1751.025564,1710.5800319999998,1769.9308024,1998.060672699999,2266.4224244,2303.906589
