Relative_Second,Avg_Total_Service_CPU(m),Avg_Total_Service_Memory(Mi)
0,3.9,120.0
1,3.9,120.0
2,3.9,120.0
3,4.1,120.1
4,5.4,120.2
5,5.6,120.3
6,5.6,120.3
7,5.6,120.3
8,8.0,120.4
9,14.3,120.5
10,18.1,120.8
11,31.6,121.1
12,31.6,121.1
13,32.9,121.4
14,41.9,121.6
15,57.8,121.7
16,82.1,121.7
17,94.1,121.8
18,117.6,122.0
19,117.6,122.0
20,117.6,122.0
21,133.7,122.1
22,153.0,122.3
23,177.1,122.2
24,188.8,122.2
25,188.8,122.2
26,215.6,122.0
27,232.3,122.0
28,245.9,122.1
29,247.1,122.2
30,260.2,122.2
31,263.1,121.9
32,263.1,121.9
33,263.1,121.9
34,270.7,121.8
35,270.6,121.7
36,264.6,121.7
37,256.3,121.4
38,256.3,121.4
39,239.9,121.3
40,232.2,121.1
41,214.6,120.9
42,203.1,120.7
43,187.5,120.5
44,163.8,120.5
45,163.8,120.5
46,163.8,120.5
47,139.6,120.4
48,122.1,120.2
49,100.9,120.0
50,84.0,120.0
51,84.0,120.0
52,71.4,120.0
53,53.4,120.0
54,41.5,120.0
55,27.3,120.0
56,16.5,120.0
57,13.6,120.0
58,13.6,120.0
59,13.6,120.0
60,11.7,120.0
61,4.78,120.0
62,6.5,120.0
