Relative_Second,Avg_Total_Service_CPU(m),Avg_Total_Service_Memory(Mi)
0,18.0,208.4
1,13.8,208.4
2,11.9,208.3
3,13.3,208.3
4,12.7,208.4
5,12.7,208.4
6,17.0,208.7
7,17.0,208.7
8,27.8,208.8
9,27.8,208.8
10,41.5,208.9
11,53.1,209.1
12,62.4,209.2
13,62.4,209.2
14,107.7,209.6
15,107.7,209.6
16,126.0,209.6
17,156.4,209.8
18,191.9,209.9
19,222.7,210.0
20,222.7,210.0
21,245.9,210.1
22,245.9,210.1
23,268.4,210.3
24,297.3,210.3
25,328.5,210.3
26,328.5,210.3
27,359.5,210.0
28,359.5,210.0
29,382.2,210.2
30,390.8,210.2
31,390.5,210.1
32,396.9,210.1
33,396.9,210.1
34,401.1,210.1
35,395.1,209.9
36,395.1,209.9
37,384.4,209.9
38,369.2,209.9
39,369.0,209.7
40,347.6,209.5
41,320.6,209.8
42,291.5,209.6
43,291.5,209.6
44,258.9,209.5
45,224.8,209.3
46,192.3,209.0
47,192.3,209.0
48,166.2,208.9
49,166.2,208.9
50,138.3,208.8
51,113.0,208.7
52,59.3,208.5
53,59.3,208.5
54,48.7,208.0
55,38.4,208.0
56,34.0,208.0
57,34.0,208.0
58,27.5,208.0
59,21.8,207.9
60,19.0,208.83
